0.0,6478067.13229205,-27594.9119787908,-11989.2084548056,
30.0,6474803.78426951,138780.460156025,154644.527407402,
60.0,6462984.01404868,304972.781220332,321073.554866956,
90.0,6442623.4422774,470762.775038135,487077.592817669,
120.0,6413748.97625868,635931.696189841,652436.922691274,
150.0,6376398.77439151,800261.618626303,816932.679271122,
180.0,6330622.19574338,963535.723201885,980347.140376379,
210.0,6276479.73482106,1125538.58374719,1142464.01503327,
240.0,6214042.94162593,1286056.45130396,1303068.72975198,
270.0,6143394.3270994,1444877.53614724,1461948.7125303,
300.0,6064627.2540835,1601792.28722255,1618893.67420811,
330.0,5977845.81394063,1756593.6686295,1773695.88680029,
360.0,5883164.6889956,1909077.43278702,1926150.45843974,
390.0,5780709.00098169,2059042.38991973,2076055.60456648,
420.0,5670614.14569104,2206290.67350999,2223212.91500399,
450.0,5553025.61404784,2350628.00136532,2367427.61656928,
480.0,5428098.79984087,2491863.93195678,2508508.83086905,
510.0,5295998.79436935,2629812.11569,2646269.82694084,
540.0,5156900.16827356,2764290.54077752,2780528.26840461,
570.0,5010986.74083854,2895121.77338778,2911106.45479779,
600.0,4858451.33707569,3022133.19175419,3037831.55677436,
630.0,4699495.53290332,3145157.21393512,3160535.84485647,
660.0,4534329.38876291,3264031.51892452,3279056.91143616,
690.0,4363171.17202309,3378599.26082127,3393237.88573298,
720.0,4186247.06853818,3488709.27577482,3502927.64142328,
750.0,4003790.88374246,3594216.28143397,3607980.99666625,
780.0,3816043.73367524,3694981.06863568,3708258.90626192,
810.0,3623253.72634494,3790870.68508101,3803628.6456869,
840.0,3425675.63385336,3881758.61075575,3893963.98676413,
870.0,3223570.55571337,3967524.92486445,3979145.36473426,
900.0,3017205.57380492,4048056.46405745,4059060.0365075,
930.0,2806853.39942546,4123246.97174218,4133602.22988639,
960.0,2592792.01290113,4192997.23828177,4202673.28356209,
990.0,2375304.29623486,4257215.23189595,4266181.77769893,
1020.0,2154677.6592771,4315816.22009148,4324043.65493418,
1050.0,1931203.65991292,4368722.88146204,4376182.33163313,
1080.0,1705177.61876766,4415865.40770987,4422528.7992521,
1110.0,1476898.22894004,4457181.5957547,4463021.7156752,
1140.0,1246667.16127868,4492616.92980838,4497607.48640403,
1170.0,1014788.66572358,4522124.65330689,4526240.33549281,
1200.0,781569.169239374,4545665.83060487,4548882.3661351,
1230.0,547316.870871682,4563209.39835127,4565503.6108218,
1260.0,312341.334461771,4574732.20647824,4576082.07100424,
1290.0,76953.0795576614,4580219.04874927,4580603.74620966,
1320.0,-158536.828937642,4579662.68282627,4579062.65257072,
1350.0,-393817.191838553,4573063.83982901,4571460.83074435,
1380.0,-628577.08692668,4560431.22337443,4557808.34320965,
1410.0,-862506.279834533,4541781.49809695,4538123.26094821,
1440.0,-1095295.63402015,4517139.26766511,4512431.63952468,
1470.0,-1326637.51929087,4486537.04232324,4480767.48459907,
1500.0,-1556226.21833642,4450015.19600134,4443172.70691659,
1530.0,-1783758.33073402,4407621.91304949,4399697.06683448,
1560.0,-2008933.17389166,4359413.12466713,4350398.10845934,
1590.0,-2231453.18039966,4305452.43511113,4295341.08348208,
1620.0,-2451024.2912655,4245811.03777998,4234598.86481131,
1650.0,-2667356.34451215,4180567.6212848,4168251.85011954,
1680.0,-2880163.45862639,4109808.26563109,4096387.85542979,
1710.0,-3089164.41035051,4033626.32864818,4019101.99888347,
1740.0,-3294083.00631792,3952122.32281632,3936496.57484336,
1770.0,-3494648.44804181,3865403.78265377,3848680.91849844,
1800.0,-3690595.6897743,3773585.12283894,3755771.26114957,
1830.0,-3881665.78876331,3676787.4872548,3657890.57636777,
1860.0,-4067606.24744424,3575138.5891546,3555168.41722855,
1890.0,-4248171.3471142,3468772.54265996,3447740.74483789,
1920.0,-4423122.47264802,3357829.68581346,3335749.74837667,
1950.0,-4592228.42782667,3242456.39541932,3219343.65690182,
1980.0,-4755265.74086161,3122804.89391642,3098676.54315332,
2010.0,-4912018.95971118,2999033.04853845,2973908.11962663,
2040.0,-5062280.93679882,2871304.1630262,2845203.52718055,
2070.0,-5205853.10275695,2739786.76216684,2712733.11646026,
2100.0,-5342545.72883452,2604654.36944431,2576672.22242483,
2130.0,-5472178.17762176,2466085.27809439,2437200.93227771,
2160.0,-5594579.14176058,2324262.31586638,2294503.84710724,
2190.0,-5709586.87032526,2179372.60380177,2148769.83755281,
2220.0,-5817049.38257423,2031607.30934825,2000191.79381992,
2250.0,-5916824.66879054,1881161.39413468,1848966.3703751,
2280.0,-6008780.87794546,1728233.35673988,1695293.72565866,
2310.0,-6092796.49193746,1573024.97079463,1539377.25715958,
2340.0,-6168760.48617603,1415741.01876236,1381423.33220344,
2370.0,-6236572.47629833,1256589.02174986,1221641.01480955,
2400.0,-6296142.85082477,1095778.96570442,1060241.78897878,
2430.0,-6347392.88957811,933523.024358715,897439.278778516,
2460.0,-6390254.86770966,770035.279288929,733448.965595077,
2490.0,-6424672.14519518,605531.437455513,568487.902927828,
2520.0,-6450599.24168207,440228.546599228,402774.429102601,
2550.0,-6468001.89658904,274344.708867962,236527.878284543,
2580.0,-6476857.11437885,108098.793052218,69968.2901729768,
2610.0,-6477153.19494423,-58289.8541911224,-96683.8812375523,
2640.0,-6468889.74906685,-224601.697745707,-263208.059444525,
2670.0,-6452077.698929,-390617.303691431,-429383.837386783,
2700.0,-6426739.26367711,-556117.628826871,-594991.26916959,
2730.0,-6392907.93005648,-720884.309676342,-759811.161179223,
2760.0,-6350628.40815571,-884699.950600346,-923625.362201855,
