2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433920.220738,526098.924026,542355.516324,6058204.640042,4196172.975309,356643.367281
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6058199.750199,4196179.630511,356648.126224,6433919.034875,526106.064974,542362.657121
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,1282899.596497,4787846.475137,4013891.671009,6433899.207596,526225.445043,542482.034958
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,31988447.400269,27472334.590120,-58619.186290,6057833.312055,4196678.302991,357004.727312
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057807.606752,4196713.280026,357029.740508,31988433.764604,27472350.467367,-58619.160306
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,31988432.079376,27472352.429630,-58619.157095,6433823.119164,526683.320218,542939.906692
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433818.066497,526713.711293,542970.297827,31988421.038069,27472365.286017,-58619.136055
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057297.865831,4197406.762304,357525.701354,6433700.084590,527422.853430,543679.451506
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433699.302697,527427.549873,543684.148090,6057294.648472,4197411.138676,357528.831402
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433688.011958,527495.362962,543751.963317,6057248.191673,4197474.329933,357574.027004
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433685.971400,527507.617779,543764.218539,6057239.796138,4197485.749470,357582.194526
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433682.361916,527529.294269,543785.895761,6057224.945916,4197505.948469,357596.641363
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057221.713158,4197510.345581,357599.786296,6433681.576148,527534.013022,543790.614675
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,1282899.596497,4787846.475137,4013891.671009,6433676.895387,527562.121395,543818.724029
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057198.214986,4197542.306902,357622.645960,6433675.864405,527568.312329,543824.915183
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057194.923740,4197546.783492,357625.847756,6433675.064371,527573.116393,543829.719418
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433668.417421,527613.028465,543869.632952,6057167.579927,4197583.974826,357652.448246
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057164.164938,4197588.619633,357655.770380,6433667.587249,527618.013076,543874.617750
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433662.393093,527649.199325,543905.805192,6057142.798908,4197617.679846,357676.555348
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433661.445998,527654.885580,543911.491668,6057138.903171,4197622.978446,357680.345118
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057134.937397,4197628.372289,357684.203014,6433660.481868,527660.674050,543917.280364
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433660.274472,527661.919211,543918.525574,6057134.084316,4197629.532561,357685.032888
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433658.736904,527671.150346,543927.757074,6057127.759898,4197638.134360,357691.185252
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433655.469986,527690.763486,543947.370999,6057114.322517,4197656.410336,357704.257018
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433654.421956,527697.055245,543953.663013,6057110.011880,4197662.273135,357708.450353
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433651.849252,527712.499921,543969.108321,6057099.430318,4197676.664805,357718.743934
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057040.912856,4197756.250921,357775.667999,6433637.620724,527797.909622,544054.521690
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433635.022811,527813.502629,544070.115397,6057030.229309,4197770.780656,357786.060490
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6057002.198786,4197808.901986,357813.327145,6433628.206339,527854.413765,544111.028413
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433619.637601,527905.837116,544162.454222,6056966.965208,4197856.818454,357847.600109
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433618.855441,527910.530820,544167.148156,6056963.749208,4197861.192052,357850.728403
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433617.632238,527917.871122,544174.488818,6056958.719819,4197868.031748,357855.620622
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433615.155541,527932.733174,544189.351605,6056948.536680,4197881.880196,357865.525998
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433611.690225,527953.526988,544210.146464,6056934.289148,4197901.255821,357879.384834
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433607.122057,527980.937255,544237.558134,6056915.507995,4197926.796576,357897.653480
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6056905.578551,4197940.299644,357907.311909,31987955.359917,27472907.507454,-58618.248677
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,31987953.783422,27472909.343045,-58618.245673,6056902.605559,4197944.342603,357910.203747
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,31987938.466249,27472927.177576,-58618.216486,6433596.957167,528041.924250,544298.548354
2020-01-01T00:01:39Z,2020-01-01T00:01:40Z,1,6433596.897597,528042.281635,544298.905758,31987938.336397,27472927.328769,-58618.216238
